estacao,nome,hora_manaus,nivel_cm,nivel_m,nivel_min_cm,nivel_max_cm,medicoes,ultima_medicao_manaus
14420000,Serrinha,2026-08-28 15:00:00,740.0,7.400,740.0,740.0,4,2026-08-28 15:45:00
14480002,Barcelos,2026-08-28 15:00:00,510.5,5.105,510.0,511.0,4,2026-08-28 15:45:00
14110000,Cucuí,2026-08-28 16:00:00,1725.0,17.250,1724.0,1725.0,4,2026-08-28 16:45:00
14280001,Taracuá,2026-08-28 16:00:00,1402.0,14.020,1401.0,1402.0,4,2026-08-28 16:45:00
14330000,Curicuriari,2026-08-28 16:00:00,1085.0,10.850,1085.0,1085.0,4,2026-08-28 16:45:00
14420000,Serrinha,2026-08-28 16:00:00,740.0,7.400,740.0,740.0,4,2026-08-28 16:45:00
14480002,Barcelos,2026-08-28 16:00:00,510.0,5.100,510.0,510.0,4,2026-08-28 16:45:00
14110000,Cucuí,2026-08-28 17:00:00,1725.0,17.250,1725.0,1725.0,4,2026-08-28 17:45:00
14280001,Taracuá,2026-08-28 17:00:00,1401.0,14.010,1401.0,1401.0,4,2026-08-28 17:45:00
14330000,Curicuriari,2026-08-28 17:00:00,1085.5,10.855,1085.0,1086.0,4,2026-08-28 17:45:00
14420000,Serrinha,2026-08-28 17:00:00,740.0,7.400,740.0,740.0,4,2026-08-28 17:45:00
14480002,Barcelos,2026-08-28 17:00:00,510.0,5.100,510.0,510.0,4,2026-08-28 17:45:00
14110000,Cucuí,2026-08-28 18:00:00,1725.0,17.250,1725.0,1725.0,4,2026-08-28 18:45:00
14280001,Taracuá,2026-08-28 18:00:00,1401.0,14.010,1401.0,1401.0,4,2026-08-28 18:45:00
14330000,Curicuriari,2026-08-28 18:00:00,1086.0,10.860,1086.0,1086.0,4,2026-08-28 18:45:00
14420000,Serrinha,2026-08-28 18:00:00,740.0,7.400,740.0,740.0,4,2026-08-28 18:45:00
14480002,Barcelos,2026-08-28 18:00:00,510.0,5.100,509.0,510.0,4,2026-08-28 18:45:00
14110000,Cucuí,2026-08-28 19:00:00,1725.0,17.250,1725.0,1725.0,4,2026-08-28 19:45:00
14280001,Taracuá,2026-08-28 19:00:00,1401.0,14.010,1401.0,1401.0,4,2026-08-28 19:45:00
14330000,Curicuriari,2026-08-28 19:00:00,1086.0,10.860,1086.0,1086.0,4,2026-08-28 19:45:00
14420000,Serrinha,2026-08-28 19:00:00,740.0,7.400,740.0,741.0,4,2026-08-28 19:45:00
14480002,Barcelos,2026-08-28 19:00:00,509.0,5.090,509.0,509.0,4,2026-08-28 19:45:00
14110000,Cucuí,2026-08-28 20:00:00,1725.5,17.255,1725.0,1726.0,4,2026-08-28 20:45:00
14280001,Taracuá,2026-08-28 20:00:00,1401.0,14.010,1401.0,1404.0,4,2026-08-28 20:45:00
14330000,Curicuriari,2026-08-28 20:00:00,1086.0,10.860,1086.0,1086.0,4,2026-08-28 20:45:00
14420000,Serrinha,2026-08-28 20:00:00,741.0,7.410,741.0,741.0,4,2026-08-28 20:45:00
14480002,Barcelos,2026-08-28 20:00:00,509.0,5.090,509.0,509.0,4,2026-08-28 20:45:00
14110000,Cucuí,2026-08-28 21:00:00,1726.0,17.260,1726.0,1726.0,4,2026-08-28 21:45:00
14280001,Taracuá,2026-08-28 21:00:00,1401.0,14.010,1401.0,1401.0,4,2026-08-28 21:45:00
14330000,Curicuriari,2026-08-28 21:00:00,1086.0,10.860,1086.0,1086.0,4,2026-08-28 21:45:00
14420000,Serrinha,2026-08-28 21:00:00,741.0,7.410,741.0,741.0,4,2026-08-28 21:45:00
14480002,Barcelos,2026-08-28 21:00:00,509.0,5.090,508.0,509.0,4,2026-08-28 21:45:00
